,reviewText,Category,overall
606232,good voice weak song,CDs_and_Vinyls,0
300782,"OK performances, TERRIBLE sound",CDs_and_Vinyls,0
89177,Leaks through the threads,Baby,0
396568,"Dear Little Girls and, well, eh-hem, some Boys...",CDs_and_Vinyls,0
547362,Thsi band sucks.,CDs_and_Vinyls,0
586424,M O R O N  5,CDs_and_Vinyls,0
741486,All Lil Jon Fans Are Dumb As Hell!!!,CDs_and_Vinyls,0
95425,petrified turd from the eighties,CDs_and_Vinyls,0
17792,Overated show with cheesy humor with terrible child acting,Amazon_Instant_Video,0
80463,One Star is All,Baby,0
18666,Not compatible with Graco Pack n Play playard,Baby,0
206435,C'mon Guys!,CDs_and_Vinyls,0
747384,I can't tell what's worse...,CDs_and_Vinyls,0
973417,MISTITLED; ALSO-RAN VERSIONS.,CDs_and_Vinyls,0
357333,Snoop is better than this.,CDs_and_Vinyls,0
21509,KABOOM! How about a little quality control Coleman???,Sports_and_Outdoors,0
247107,Poor QC!,Sports_and_Outdoors,0
671368,GARBAGE!,CDs_and_Vinyls,0
917583,Waste of Time,CDs_and_Vinyls,0
152388,Not a good food pouch design for me,Baby,0
2523,Horrible,Beauty,0
983238,the founderz of heavy metal have made yet another masterpiece!!!!!!,CDs_and_Vinyls,0
615365,Would Someone Help this Woman?,CDs_and_Vinyls,0
745239,thanks for ruining everything.,CDs_and_Vinyls,0
148829,dies too soon,Baby,0
504609,The Emperor Has No Clothes!  It's really too bad.,CDs_and_Vinyls,0
509002,In case you did'nt hear these the first 100 times...,CDs_and_Vinyls,0
821377,Boo them off stage.,CDs_and_Vinyls,0
340370,Love Bizarre&Shelia E's Drumming are all you need,CDs_and_Vinyls,0
718498,Kittie-in the end-sucks!!!,CDs_and_Vinyls,0
98742,Worked well for a full two weeks.,Baby,0
256560,Modifications necessary!,Sports_and_Outdoors,0
73813,Not soothing! Ouch!,Baby,0
731961,puzzling trend brewing...........,CDs_and_Vinyls,0
402879,"For the Love of God, don't buy it!",CDs_and_Vinyls,0
623833,"Disappointing, Not Innovative, No Variety",CDs_and_Vinyls,0
666007,Too bad for Em...,CDs_and_Vinyls,0
763524,EGOMANIAC,CDs_and_Vinyls,0
247061,Laser wound Center.,Sports_and_Outdoors,0
50685,empty bag is too heavy alone,Baby,0
659573,Ho-hum...,CDs_and_Vinyls,0
18382,disappointed,Beauty,0
443556,Worts up?,CDs_and_Vinyls,0
332165,Wore then Middle Of Nowhere!,CDs_and_Vinyls,0
9376,Poor quality mirror surface,Baby,0
157040,no good at all,Sports_and_Outdoors,0
255588,Never seal,Sports_and_Outdoors,0
110272,To bulky,Sports_and_Outdoors,0
704105,The Funniest CD you could ever get.,CDs_and_Vinyls,0
39949,Dry,Beauty,0
924004,Losing it,CDs_and_Vinyls,0
59646,I Won't Be Completing the Thirty-Day Test,Beauty,0
835981,Terribly awful,CDs_and_Vinyls,0
517646,what a mistake it was buying this cd.,CDs_and_Vinyls,0
797848,Vivian is out of his element--total waste of money,CDs_and_Vinyls,0
436323,Simply a catastrophe,CDs_and_Vinyls,0
118785,Too hot and need very long hair,Beauty,0
